,protocol,domain_name,address,is_phished,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains
0,https,locking-app-adverds.000webhostapp.com,payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0
1,https,mxtoolbox.com,public/upgradev2.aspx?ps=03eaebd0-170a-4142-a7e3-6bf26229494f&abt_id=ab-217b&abt_var=control&bh=bh-1&s0=bldc&s1=mdc-2&s2=mfm-2&utm_expid=.40ubxpatqrknvssdciofqg.1&utm_referrer=https%3a%2f%2fmxtoolbox.com%2fsupertool.aspx%3faction%3dblacklist%253aprodact.io%26run%3dtoolpage,no,1,0,0,0,0
2,http,parolishop.com.br,questionreviews.htm,yes,0,0,0,0,0
3,http,innovate.ieee.org,innovate/35675?lt=xpllg_xpl_bold728x90_q3.16_ft_subpage,no,1,0,0,0,0
4,http,ietbhaddal.edu.in,bb.mobile/mobile/index.php,yes,0,0,0,0,0
5,http,www.vivianmaier.com,film-finding-vivian-maier/,no,0,0,0,0,0
6,http,smokesonstate.com,gssss/gssss/27560bea886c96f3aac10ec0ff159568,yes,2,0,0,0,0
7,http,effbot.org,zone/python-list.htm,no,0,0,0,0,0
8,http,apply.ycombinator.com,,no,0,0,0,0,0
9,http,www.hbo.com,movies/furious-7,no,0,0,0,0,0
10,https,customer.xfinity.com,#/billing,no,0,0,0,0,0
11,https,doc-0g-3k-docs.googleusercontent.com,docs/securesc/kumn1m6dungjar1r06h634l1i8hrpmuo/02q0u6hrk6sjfth3gf0nvns8o1opdrnv/1504346400000/17293357445702437972/17293357445702437972/0b6vksvkknm_8zmi5cdf4cunxdk0?e=download,no,1,0,0,1,0
12,https,info5188fb900177e.000webhostapp.com,payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,0,0
13,http,www.hbrumenterprises.ca,log/doc/td%20fud/234c59b12081201f68dea1f6044a68ba/confirm.html,yes,1,0,0,0,0
14,https,www.upwork.com,ab/feed/topics/rss?securitytoken=b664a5c73cf898d4a27ede4fefb73f5c3d4c60c1c73e174ff71bb186d2beaf0e1d8f7fca25bfe8f30b90469c6a45cdfa7cf42f9e3de9314ff342a36326c9633b&useruid=689884142989217792&orguid=689884142997606401,no,1,0,0,0,0
15,http,www.exalto-emirates.com,%20/img/dropbox%20sign/dropbox/ccc323f133a254af15bdec2192d7b9fa/,yes,1,0,0,1,0
16,http,fearlesssecurity.com,,no,0,0,0,0,0
17,http,www.manaveeyamnews.com,gatt/gd/pi/e3f1d8621cd75195f55b18d3f7f66ad4/,yes,2,0,0,0,0
18,https,foursquare.com,email_unsubscribe?messagetype=swarm_keep_in_the_know&ref=eo-blast_2017_mktg_wk23_swlapsed_iphone-593708880fe7a03b8e88468c&ts=1496779552530&userid=85455436&sig=klt%2bkhvtrq6gpiq%2bbnm9dckpqx8%3d,no,1,0,0,0,0
19,http,www.adrianofreschi.com,wp-admin/network/update/cn/ug/0a11740b7368208c2e87e808b3b37957/,yes,1,0,0,0,0
20,http,www.idolhairsalon.com,google/free/free2017cadeau/abonne/61e801b75c28aaa148e8953b14eea4f6/,yes,1,0,0,0,0
21,https,www.gettingpaidtopayattention.com,dl/8ac809f7440c23a2f670e5288c3769d5/billing.php?cmd=_account-details&session=fbdc7e570f05ec1569d192eb255aaad8&dispatch=e1b3c41c1c562815cf96a1b6e1f7cad82f3fea7a,yes,1,0,0,0,0
22,http,charlestodd.com,wp-includes/excelnew/49fc9e55113a29906eb3d1b8d151f1a2/login.php?cmd=login_submit&id=b5ded9d063fb6f81e5ec5c9b332831c2b5ded9d063fb6f81e5ec5c9b332831c2&session=b5ded9d063fb6f81e5ec5c9b332831c2b5ded9d063fb6f81e5ec5c9b332831c2,yes,1,0,0,0,0
23,https,app.gethappie.me,at/saleshood/product-manager.1224/,no,2,0,0,0,0
